Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.67,0.08,2.228%,122972349.00,United States,,85730,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$9.20,0.08,0.877%,2749654444.00,Canada,,1156272,,
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.83,0.02,0.156%,360934689.00,United States,2003,82521,,
ERH,Wells Fargo Utilities and High Income Fund,$14.03,0.12,0.863%,130091912.00,,2004,21234,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.26,0.36,2.416%,41242180.00,United States,,6474,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$37.67,0.52,1.40%,204683863.00,United States,,21878,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$29.37,0.01,0.034%,360022541.00,United States,,4558,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.89,0.04,0.338%,297182691.00,United States,2002,60465,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.86,0.00,0.00%,1493650651.00,United States,2003,273692,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.87,0.02,0.135%,80325182.00,United States,1999,5471,,
EXN,Excellon Resources Inc. Common Shares,$2.93,-0.125,-4.092%,94881059.00,,2020,66223,,
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.24,-0.01,-0.235%,1050230056.00,United States,1986,483964,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.77,-0.05,-0.567%,76617456.00,United States,1992,15876,,
FEN,First Trust Energy Income and Growth Fund,$14.31,0.00,0.00%,278266107.00,United States,2004,50907,,
FRD,Friedman Industries Inc. Common Stock,$10.90,0.10,0.926%,75273754.00,United States,,27468,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.33,0.06,1.835%,41011434.00,Canada,,25600,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.09,0.02,0.394%,546300533.00,United States,,255835,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.285,0.025,0.27%,279839083.00,United States,2003,131486,,
FTSI,FTS International Inc. Class A Common Stock,$27.00,-0.99,-3.537%,377729190.00,United States,2020,78121,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.42,0.04,2.899%,167461641.00,,2020,338853,,
GAU,Galiano Gold Inc.,$1.35,0.06,4.651%,303308713.00,Canada,,1283504,,
GBR,New Concept Energy Inc Common Stock,$4.30,0.28,6.965%,22067316.00,United States,,371399,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$11.39,-0.11,-0.957%,152652094.00,United States,2017,30472,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.00,0.01,0.251%,615920540.00,United States,2005,995783,,
